Date,Average_Players
2024-10-04,1322412.0
2024-10-05,1363110.0
2024-10-06,1462028.0
2024-10-07,1363872.0
2024-10-08,1400121.0
2024-10-09,1395317.0
2024-10-10,1346127.0
2024-10-11,1368886.0
2024-10-12,1498661.0
2024-10-13,1457406.0
2024-10-14,1354676.0
2024-10-15,1346206.0
2024-10-16,1371919.0
2024-10-17,1351930.0
2024-10-18,1395611.0
2024-10-19,1439170.0
2024-10-20,1444182.0
2024-10-21,1359117.0
2024-10-22,1366235.0
2024-10-23,1406747.0
2024-10-24,1347182.0
2024-10-25,1378151.0
2024-10-26,1387676.0
2024-10-27,1359073.0
2024-10-28,1294521.0
2024-10-29,1283825.0
2024-10-30,1297738.0
2024-10-31,1285335.0
2024-11-01,1328946.0
2024-11-02,1281517.0
2024-11-03,1406484.0
2024-11-04,1330043.0
2024-11-05,1294016.0
2024-11-06,1328386.0
2024-11-07,1257239.0
2024-11-08,1363972.0
2024-11-09,1407640.0
2024-11-10,1410855.0
2024-11-11,1351875.0
2024-11-12,1361289.0
2024-11-13,1377242.0
2024-11-14,1426228.0
2024-11-15,1458551.0
2024-11-16,1515593.0
2024-11-17,1520108.0
2024-11-18,1407642.0
2024-11-19,1402450.0
2024-11-20,1472651.0
2024-11-21,1413790.0
2024-11-22,1461437.0
2024-11-23,1544831.0
2024-11-24,1509729.0
2024-11-25,1396001.0
2024-11-26,1421173.0
2024-11-27,1502132.0
2024-11-28,1468093.0
2024-11-29,1519524.0
2024-11-30,1562206.0
2024-12-01,1504816.0
2024-12-02,1400885.0
2024-12-03,1409253.0
2024-12-04,1509212.0
2024-12-05,1466462.0
2024-12-06,1452858.0
2024-12-07,1579404.0
2024-12-08,1595470.0
2024-12-09,1460230.0
2024-12-10,1460550.0
2024-12-11,1527145.0
2024-12-12,1465724.0
2024-12-13,1526321.0
2024-12-14,1657562.0
2024-12-15,1740261.0
2024-12-16,1551739.0
2024-12-17,1540968.0
2024-12-18,1589645.0
2024-12-19,1585721.0
2024-12-20,1607321.0
2024-12-21,1642877.0
2024-12-22,1644277.0
2024-12-23,1538990.0
2024-12-24,1557307.0
2024-12-25,1605303.0
2024-12-26,1603329.0
2024-12-27,1626764.0
2024-12-28,1606682.0
2024-12-29,1570715.0
2024-12-30,1513017.0
2024-12-31,1377913.0
2025-01-01,1463898.0
2025-01-02,1484390.0
2025-01-03,1570385.0
2025-01-04,1604641.0
2025-01-05,1539232.0
2025-01-06,1463868.0
2025-01-07,1391550.0
2025-01-08,1475839.0
2025-01-09,1370037.0
2025-01-10,1388160.0
2025-01-11,1489929.0
2025-01-12,1496558.0
2025-01-13,1332229.0
2025-01-14,1296535.0
2025-01-15,1374385.0
2025-01-16,1320308.0
2025-01-17,1352447.0
2025-01-18,1419675.0
2025-01-19,1468200.0
2025-01-20,1311540.0
2025-01-21,1309889.0
2025-01-22,1379229.0
2025-01-23,1350892.0
2025-01-24,1352579.0
2025-01-25,1451858.0
2025-01-26,1485840.0
2025-01-27,1270307.0
2025-01-28,1158622.0
2025-01-29,1269900.0
2025-01-30,1257798.0
2025-01-31,1303443.0
2025-02-01,1386275.0
2025-02-02,1461496.0
2025-02-03,1287653.0
2025-02-04,1326324.0
2025-02-05,1459288.0
2025-02-06,1441230.0
2025-02-07,1448632.0
2025-02-08,1568512.0
2025-02-09,1610578.0
2025-02-10,1429363.0
2025-02-11,1475047.0
2025-02-12,1522937.0
2025-02-13,1466877.0
2025-02-14,1476938.0
2025-02-15,1659634.0
2025-02-16,1744015.0
2025-02-17,1553490.0
2025-02-18,1580514.0
2025-02-19,1622938.0
2025-02-20,1587732.0
2025-02-21,1629116.0
2025-02-22,1734886.0
2025-02-23,1788017.0
2025-02-24,1613600.0
2025-02-25,1623619.0
2025-02-26,1702887.0
2025-02-27,1641349.0
2025-02-28,1720092.0
2025-03-01,1789374.0
2025-03-02,1751214.0
2025-03-03,1578387.0
2025-03-04,1599941.0
2025-03-05,1726626.0
2025-03-06,1649760.0
2025-03-07,1707845.0
2025-03-08,1719838.0
2025-03-09,1767686.0
2025-03-10,1601186.0
2025-03-11,1615275.0
2025-03-12,1724278.0
2025-03-13,1671174.0
2025-03-14,1737935.0
2025-03-15,1824989.0
2025-03-16,1818519.0
2025-03-17,1636653.0
2025-03-18,1643093.0
2025-03-19,1718439.0
2025-03-20,1635608.0
2025-03-21,1731542.0
2025-03-22,1816812.0
2025-03-23,1814524.0
2025-03-24,1624732.0
2025-03-25,1667846.0
2025-03-26,1754642.0
2025-03-27,1677940.0
2025-03-28,1772677.0
2025-03-29,1793802.0
2025-03-30,1801715.0
2025-03-31,1662732.0
2025-04-01,1781759.0
2025-04-02,1811827.0
2025-04-03,1690784.0
2025-04-04,1623705.0
2025-04-05,1686886.0
2025-04-06,1808182.0
2025-04-07,1651281.0
2025-04-08,1668227.0
2025-04-09,1809155.0
2025-04-10,1690171.0
2025-04-11,1813414.0
2025-04-12,1862531.0
2025-04-13,1748467.0
2025-04-14,1591401.0
2025-04-15,1605063.0
2025-04-16,1776391.0
2025-04-17,1653275.0
2025-04-18,1764151.0
2025-04-19,1736813.0
2025-04-20,1661919.0
2025-04-21,1670281.0
2025-04-22,1625546.0
2025-04-23,1756874.0
2025-04-24,1665339.0
2025-04-25,1776196.0
2025-04-26,1758338.0
2025-04-27,1772252.0
2025-04-28,1590008.0
2025-04-29,1578375.0
2025-04-30,1620905.0
2025-05-01,1489568.0
2025-05-02,1426843.0
2025-05-03,1439573.0
2025-05-04,1578209.0
2025-05-05,1506418.0
2025-05-06,1545603.0
2025-05-07,1691216.0
2025-05-08,1640423.0
2025-05-09,1669491.0
2025-05-10,1684061.0
2025-05-11,1660219.0
2025-05-12,1530261.0
2025-05-13,1548090.0
2025-05-14,1689405.0
2025-05-15,1573711.0
2025-05-16,1648396.0
2025-05-17,1700038.0
2025-05-18,1692016.0
2025-05-19,1621288.0
2025-05-20,1566374.0
2025-05-21,1663831.0
2025-05-22,1654387.0
2025-05-23,1719292.0
2025-05-24,1722301.0
2025-05-25,1691941.0
2025-05-26,1571409.0
2025-05-27,1606237.0
2025-05-28,1692166.0
2025-05-29,1636709.0
2025-05-30,1631776.0
2025-05-31,1547936.0
2025-06-01,1578694.0
2025-06-02,1497388.0
2025-06-03,1543256.0
2025-06-04,1664047.0
2025-06-05,1617900.0
2025-06-06,1636311.0
2025-06-07,1718203.0
