item_encoded,price,price_lag_1,price_lag_2,price_lag_3,Date,Average_Players,has_tournament
0,0.209,0.224,0.219,0.207,2024-10-07,1363872.0,1
0,0.203,0.209,0.224,0.219,2024-10-08,1400121.0,1
0,0.194,0.203,0.209,0.224,2024-10-09,1395317.0,1
0,0.204,0.194,0.203,0.209,2024-10-10,1346127.0,1
0,0.212,0.204,0.194,0.203,2024-10-11,1368886.0,1
0,0.223,0.212,0.204,0.194,2024-10-12,1498661.0,1
0,0.234,0.223,0.212,0.204,2024-10-13,1457406.0,1
0,0.235,0.234,0.223,0.212,2024-10-14,1354676.0,0
0,0.228,0.235,0.234,0.223,2024-10-15,1346206.0,0
0,0.217,0.228,0.235,0.234,2024-10-16,1371919.0,0
0,0.205,0.217,0.228,0.235,2024-10-17,1351930.0,0
0,0.204,0.205,0.217,0.228,2024-10-18,1395611.0,0
0,0.223,0.204,0.205,0.217,2024-10-19,1439170.0,0
0,0.206,0.223,0.204,0.205,2024-10-20,1444182.0,0
0,0.2,0.206,0.223,0.204,2024-10-21,1359117.0,0
0,0.201,0.2,0.206,0.223,2024-10-22,1366235.0,0
0,0.201,0.201,0.2,0.206,2024-10-23,1406747.0,0
0,0.199,0.201,0.201,0.2,2024-10-24,1347182.0,0
0,0.201,0.199,0.201,0.201,2024-10-25,1378151.0,0
0,0.203,0.201,0.199,0.201,2024-10-26,1387676.0,0
0,0.203,0.203,0.201,0.199,2024-10-27,1359073.0,0
0,0.202,0.203,0.203,0.201,2024-10-28,1294521.0,0
0,0.207,0.202,0.203,0.203,2024-10-29,1283825.0,0
0,0.228,0.207,0.202,0.203,2024-10-30,1297738.0,1
0,0.231,0.228,0.207,0.202,2024-10-31,1285335.0,1
0,0.228,0.231,0.228,0.207,2024-11-01,1328946.0,1
0,0.229,0.228,0.231,0.228,2024-11-02,1281517.0,1
0,0.225,0.229,0.228,0.231,2024-11-03,1406484.0,1
0,0.219,0.225,0.229,0.228,2024-11-04,1330043.0,0
0,0.212,0.219,0.225,0.229,2024-11-05,1294016.0,0
0,0.22,0.212,0.219,0.225,2024-11-06,1328386.0,0
0,0.224,0.22,0.212,0.219,2024-11-07,1257239.0,0
0,0.231,0.224,0.22,0.212,2024-11-08,1363972.0,0
0,0.239,0.231,0.224,0.22,2024-11-09,1407640.0,0
0,0.234,0.239,0.231,0.224,2024-11-10,1410855.0,0
0,0.228,0.234,0.239,0.231,2024-11-11,1351875.0,0
0,0.234,0.228,0.234,0.239,2024-11-12,1361289.0,0
0,0.22,0.234,0.228,0.234,2024-11-13,1377242.0,0
0,0.231,0.22,0.234,0.228,2024-11-14,1426228.0,0
0,0.234,0.231,0.22,0.234,2024-11-15,1458551.0,0
0,0.232,0.234,0.231,0.22,2024-11-16,1515593.0,0
0,0.226,0.232,0.234,0.231,2024-11-17,1520108.0,0
0,0.229,0.226,0.232,0.234,2024-11-18,1407642.0,0
0,0.231,0.229,0.226,0.232,2024-11-19,1402450.0,0
0,0.234,0.231,0.229,0.226,2024-11-20,1472651.0,0
0,0.236,0.234,0.231,0.229,2024-11-21,1413790.0,0
0,0.243,0.236,0.234,0.231,2024-11-22,1461437.0,0
0,0.244,0.243,0.236,0.234,2024-11-23,1544831.0,0
0,0.252,0.244,0.243,0.236,2024-11-24,1509729.0,0
0,0.253,0.252,0.244,0.243,2024-11-25,1396001.0,0
0,0.247,0.253,0.252,0.244,2024-11-26,1421173.0,0
0,0.245,0.247,0.253,0.252,2024-11-27,1502132.0,0
0,0.233,0.245,0.247,0.253,2024-11-28,1468093.0,0
0,0.224,0.233,0.245,0.247,2024-11-29,1519524.0,0
0,0.238,0.224,0.233,0.245,2024-11-30,1562206.0,1
0,0.247,0.238,0.224,0.233,2024-12-01,1504816.0,1
0,0.232,0.247,0.238,0.224,2024-12-02,1400885.0,1
0,0.218,0.232,0.247,0.238,2024-12-03,1409253.0,1
0,0.225,0.218,0.232,0.247,2024-12-04,1509212.0,1
0,0.224,0.225,0.218,0.232,2024-12-05,1466462.0,1
0,0.231,0.224,0.225,0.218,2024-12-06,1452858.0,1
0,0.233,0.231,0.224,0.225,2024-12-07,1579404.0,1
0,0.225,0.233,0.231,0.224,2024-12-08,1595470.0,1
0,0.236,0.225,0.233,0.231,2024-12-09,1460230.0,1
0,0.24,0.236,0.225,0.233,2024-12-10,1460550.0,1
0,0.241,0.24,0.236,0.225,2024-12-11,1527145.0,1
0,0.241,0.241,0.24,0.236,2024-12-12,1465724.0,1
0,0.243,0.241,0.241,0.24,2024-12-13,1526321.0,1
0,0.244,0.243,0.241,0.241,2024-12-14,1657562.0,1
0,0.251,0.244,0.243,0.241,2024-12-15,1740261.0,1
0,0.245,0.251,0.244,0.243,2024-12-16,1551739.0,0
0,0.244,0.245,0.251,0.244,2024-12-17,1540968.0,0
0,0.245,0.244,0.245,0.251,2024-12-18,1589645.0,0
0,0.248,0.245,0.244,0.245,2024-12-19,1585721.0,0
0,0.24,0.248,0.245,0.244,2024-12-20,1607321.0,0
0,0.246,0.24,0.248,0.245,2024-12-21,1642877.0,0
0,0.232,0.246,0.24,0.248,2024-12-22,1644277.0,0
0,0.228,0.232,0.246,0.24,2024-12-23,1538990.0,0
0,0.211,0.228,0.232,0.246,2024-12-24,1557307.0,0
0,0.229,0.211,0.228,0.232,2024-12-25,1605303.0,0
0,0.234,0.229,0.211,0.228,2024-12-26,1603329.0,0
0,0.225,0.234,0.229,0.211,2024-12-27,1626764.0,0
0,0.227,0.225,0.234,0.229,2024-12-28,1606682.0,0
0,0.212,0.227,0.225,0.234,2024-12-29,1570715.0,0
0,0.222,0.212,0.227,0.225,2024-12-30,1513017.0,0
0,0.219,0.222,0.212,0.227,2024-12-31,1377913.0,0
0,0.207,0.219,0.222,0.212,2025-01-01,1463898.0,0
0,0.207,0.207,0.219,0.222,2025-01-02,1484390.0,0
0,0.211,0.207,0.207,0.219,2025-01-03,1570385.0,0
0,0.214,0.211,0.207,0.207,2025-01-04,1604641.0,0
0,0.212,0.214,0.211,0.207,2025-01-05,1539232.0,0
0,0.209,0.212,0.214,0.211,2025-01-06,1463868.0,0
0,0.205,0.209,0.212,0.214,2025-01-07,1391550.0,0
0,0.211,0.205,0.209,0.212,2025-01-08,1475839.0,0
0,0.216,0.211,0.205,0.209,2025-01-09,1370037.0,0
0,0.223,0.216,0.211,0.205,2025-01-10,1388160.0,0
0,0.229,0.223,0.216,0.211,2025-01-11,1489929.0,0
0,0.222,0.229,0.223,0.216,2025-01-12,1496558.0,0
0,0.219,0.222,0.229,0.223,2025-01-13,1332229.0,0
0,0.212,0.219,0.222,0.229,2025-01-14,1296535.0,0
0,0.217,0.212,0.219,0.222,2025-01-15,1374385.0,0
0,0.231,0.217,0.212,0.219,2025-01-16,1320308.0,0
0,0.224,0.231,0.217,0.212,2025-01-17,1352447.0,0
0,0.227,0.224,0.231,0.217,2025-01-18,1419675.0,0
0,0.224,0.227,0.224,0.231,2025-01-19,1468200.0,0
0,0.213,0.224,0.227,0.224,2025-01-20,1311540.0,0
0,0.213,0.213,0.224,0.227,2025-01-21,1309889.0,0
0,0.217,0.213,0.213,0.224,2025-01-22,1379229.0,0
0,0.215,0.217,0.213,0.213,2025-01-23,1350892.0,1
0,0.214,0.215,0.217,0.213,2025-01-24,1352579.0,1
0,0.216,0.214,0.215,0.217,2025-01-25,1451858.0,1
0,0.209,0.216,0.214,0.215,2025-01-26,1485840.0,1
0,0.219,0.209,0.216,0.214,2025-01-27,1270307.0,0
0,0.222,0.219,0.209,0.216,2025-01-28,1158622.0,0
0,0.219,0.222,0.219,0.209,2025-01-29,1269900.0,1
0,0.217,0.219,0.222,0.219,2025-01-30,1257798.0,1
0,0.227,0.217,0.219,0.222,2025-01-31,1303443.0,1
0,0.238,0.227,0.217,0.219,2025-02-01,1386275.0,1
0,0.22,0.238,0.227,0.217,2025-02-02,1461496.0,1
0,0.236,0.22,0.238,0.227,2025-02-03,1287653.0,1
0,0.231,0.236,0.22,0.238,2025-02-04,1326324.0,1
0,0.235,0.231,0.236,0.22,2025-02-05,1459288.0,1
0,0.235,0.235,0.231,0.236,2025-02-06,1441230.0,1
0,0.239,0.235,0.235,0.231,2025-02-07,1448632.0,1
0,0.229,0.239,0.235,0.235,2025-02-08,1568512.0,1
0,0.226,0.229,0.239,0.235,2025-02-09,1610578.0,1
0,0.236,0.226,0.229,0.239,2025-02-10,1429363.0,0
0,0.235,0.236,0.226,0.229,2025-02-11,1475047.0,0
0,0.238,0.235,0.236,0.226,2025-02-12,1522937.0,0
0,0.239,0.238,0.235,0.236,2025-02-13,1466877.0,0
0,0.239,0.239,0.238,0.235,2025-02-14,1476938.0,1
0,0.245,0.239,0.239,0.238,2025-02-15,1659634.0,1
0,0.238,0.245,0.239,0.239,2025-02-16,1744015.0,1
0,0.235,0.238,0.245,0.239,2025-02-17,1553490.0,1
0,0.231,0.235,0.238,0.245,2025-02-18,1580514.0,1
0,0.218,0.231,0.235,0.238,2025-02-19,1622938.0,1
0,0.225,0.218,0.231,0.235,2025-02-20,1587732.0,1
0,0.227,0.225,0.218,0.231,2025-02-21,1629116.0,1
0,0.222,0.227,0.225,0.218,2025-02-22,1734886.0,1
0,0.218,0.222,0.227,0.225,2025-02-23,1788017.0,1
0,0.215,0.218,0.222,0.227,2025-02-24,1613600.0,0
0,0.234,0.215,0.218,0.222,2025-02-25,1623619.0,0
0,0.233,0.234,0.215,0.218,2025-02-26,1702887.0,0
0,0.229,0.233,0.234,0.215,2025-02-27,1641349.0,0
0,0.225,0.229,0.233,0.234,2025-02-28,1720092.0,0
0,0.228,0.225,0.229,0.233,2025-03-01,1789374.0,1
0,0.225,0.228,0.225,0.229,2025-03-02,1751214.0,1
0,0.225,0.225,0.228,0.225,2025-03-03,1578387.0,1
0,0.225,0.225,0.225,0.228,2025-03-04,1599941.0,1
0,0.228,0.225,0.225,0.225,2025-03-05,1726626.0,1
0,0.235,0.228,0.225,0.225,2025-03-06,1649760.0,1
0,0.234,0.235,0.228,0.225,2025-03-07,1707845.0,1
0,0.234,0.234,0.235,0.228,2025-03-08,1719838.0,1
0,0.237,0.234,0.234,0.235,2025-03-09,1767686.0,1
0,0.234,0.237,0.234,0.234,2025-03-10,1601186.0,1
0,0.234,0.234,0.237,0.234,2025-03-11,1615275.0,1
0,0.237,0.234,0.234,0.237,2025-03-12,1724278.0,1
0,0.228,0.237,0.234,0.234,2025-03-13,1671174.0,1
0,0.214,0.228,0.237,0.234,2025-03-14,1737935.0,1
0,0.213,0.214,0.228,0.237,2025-03-15,1824989.0,1
0,0.218,0.213,0.214,0.228,2025-03-16,1818519.0,1
0,0.225,0.218,0.213,0.214,2025-03-17,1636653.0,0
0,0.226,0.225,0.218,0.213,2025-03-18,1643093.0,0
0,0.229,0.226,0.225,0.218,2025-03-19,1718439.0,1
0,0.223,0.229,0.226,0.225,2025-03-20,1635608.0,1
0,0.221,0.223,0.229,0.226,2025-03-21,1731542.0,1
0,0.221,0.221,0.223,0.229,2025-03-22,1816812.0,1
0,0.225,0.221,0.221,0.223,2025-03-23,1814524.0,1
0,0.226,0.225,0.221,0.221,2025-03-24,1624732.0,1
0,0.221,0.226,0.225,0.221,2025-03-25,1667846.0,1
0,0.23,0.221,0.226,0.225,2025-03-26,1754642.0,1
0,0.226,0.23,0.221,0.226,2025-03-27,1677940.0,1
0,0.228,0.226,0.23,0.221,2025-03-28,1772677.0,1
0,0.222,0.228,0.226,0.23,2025-03-29,1793802.0,1
0,0.225,0.222,0.228,0.226,2025-03-30,1801715.0,1
0,0.222,0.225,0.222,0.228,2025-03-31,1662732.0,0
0,0.214,0.222,0.225,0.222,2025-04-01,1781759.0,0
0,0.208,0.214,0.222,0.225,2025-04-02,1811827.0,0
0,0.208,0.208,0.214,0.222,2025-04-03,1690784.0,0
0,0.206,0.208,0.208,0.214,2025-04-04,1623705.0,0
0,0.2,0.206,0.208,0.208,2025-04-05,1686886.0,0
0,0.209,0.2,0.206,0.208,2025-04-06,1808182.0,1
0,0.218,0.209,0.2,0.206,2025-04-07,1651281.0,1
0,0.217,0.218,0.209,0.2,2025-04-08,1668227.0,1
0,0.217,0.217,0.218,0.209,2025-04-09,1809155.0,1
0,0.213,0.217,0.217,0.218,2025-04-10,1690171.0,1
0,0.217,0.213,0.217,0.217,2025-04-11,1813414.0,1
0,0.224,0.217,0.213,0.217,2025-04-12,1862531.0,1
0,0.222,0.224,0.217,0.213,2025-04-13,1748467.0,1
0,0.228,0.222,0.224,0.217,2025-04-14,1591401.0,0
0,0.224,0.228,0.222,0.224,2025-04-15,1605063.0,0
0,0.224,0.224,0.228,0.222,2025-04-16,1776391.0,0
0,0.218,0.224,0.224,0.228,2025-04-17,1653275.0,0
0,0.227,0.218,0.224,0.224,2025-04-18,1764151.0,0
0,0.23,0.227,0.218,0.224,2025-04-19,1736813.0,0
0,0.228,0.23,0.227,0.218,2025-04-20,1661919.0,0
0,0.229,0.228,0.23,0.227,2025-04-21,1670281.0,1
0,0.235,0.229,0.228,0.23,2025-04-22,1625546.0,1
0,0.239,0.235,0.229,0.228,2025-04-23,1756874.0,1
0,0.242,0.239,0.235,0.229,2025-04-24,1665339.0,1
0,0.239,0.242,0.239,0.235,2025-04-25,1776196.0,1
0,0.242,0.239,0.242,0.239,2025-04-26,1758338.0,1
0,0.243,0.242,0.239,0.242,2025-04-27,1772252.0,1
0,0.242,0.243,0.242,0.239,2025-04-28,1590008.0,0
0,0.247,0.242,0.243,0.242,2025-04-29,1578375.0,0
0,0.256,0.247,0.242,0.243,2025-04-30,1620905.0,1
0,0.253,0.256,0.247,0.242,2025-05-01,1489568.0,1
0,0.255,0.253,0.256,0.247,2025-05-02,1426843.0,1
0,0.261,0.255,0.253,0.256,2025-05-03,1439573.0,1
0,0.273,0.261,0.255,0.253,2025-05-04,1578209.0,1
0,0.267,0.273,0.261,0.255,2025-05-05,1506418.0,0
