tournament_name,start_date,end_date,date_range,prize_pool,location
Intel Extreme Masters Rio 2024,2024-10-07,2024-10-13,"Oct 07 - 13, 2024","$250,000",Brazil
BLAST Premier: World Final 2024,2024-10-30,2024-11-03,"Oct 30 - Nov 03, 2024","$1,000,000",Singapore
Perfect World Shanghai Major 2024,2024-11-30,2024-12-15,"Nov 30 - Dec 15, 2024","$1,250,000",China
BLAST Bounty Spring 2025,2025-01-23,2025-01-26,"Jan 23 - 26, 2025","$482,500",Denmark
Intel Extreme Masters Katowice 2025,2025-01-29,2025-02-09,"Jan 29 - Feb 09, 2025","$1,000,000",Poland
PGL Cluj-Napoca 2025,2025-02-14,2025-02-23,"Feb 14 - 23, 2025","$1,250,000",Romania
ESL Pro League Season 21,2025-03-01,2025-03-16,"Mar 01 - 16, 2025","$400,000",Sweden
BLAST Open Spring 2025,2025-03-19,2025-03-30,"Mar 19 - 30, 2025","$400,000",Portugal
PGL Bucharest 2025,2025-04-06,2025-04-13,"Apr 06 - 13, 2025","$625,000",Romania
Intel Extreme Masters Melbourne 2025,2025-04-21,2025-04-27,"Apr 21 - 27, 2025","$300,000",Australia
BLAST Rivals Spring 2025,2025-04-30,2025-05-04,"Apr 30 - May 04, 2025","$350,000",Denmark
PGL Astana 2025,2025-05-10,2025-05-18,"May 10 - 18, 2025","$625,000",Kazakhstan
Intel Extreme Masters Dallas 2025,2025-05-19,2025-05-25,"May 19 - 25, 2025","$300,000",United States
BLAST.tv Austin Major 2025,2025-06-03,2025-06-22,"Jun 03 - 22, 2025","$1,250,000",United States
Intel Extreme Masters Cologne 2025,2025-07-23,2025-08-03,"Jul 23 - Aug 03, 2025","$1,000,000",Germany
BLAST Bounty Fall 2025,2025-08-14,2025-08-17,"Aug 14 - 17, 2025","$480,000",Malta
Esports World Cup 2025,2025-08-20,2025-08-24,"Aug 20 - 24, 2025","$1,250,000",Saudi Arabia
BLAST Open Fall 2025,2025-09-05,2025-09-07,"Sep 05 - 07, 2025","$330,000",United Kingdom
FISSURE Playground #2,2025-09-12,2025-09-21,"Sep 12 - 21, 2025","$500,000",Serbia
Skyesports Championship 2025,2025-09-15,2025-09-21,"Sep 15 - 21, 2025","$500,000",India
ESL Pro League Season 22,2025-09-28,2025-10-12,"Sep 28 - Oct 12, 2025","$400,000",Sweden
Intel Extreme Masters Chengdu 2025,2025-11-03,2025-11-09,"Nov 03 - 09, 2025","$300,000",China
Skyesports World Tour 2025,2025-11-10,2025-11-16,"Nov 10 - 16, 2025","$500,000",India
BLAST Rivals Fall 2025,2025-11-12,2025-11-16,"Nov 12 - 16, 2025","$350,000",Hong Kong
YaLLa Compass Dubai 2025,2025-11-19,2025-11-23,"Nov 19 - 23, 2025","$600,000",United Arab Emirates
StarLadder Budapest Major 2025,2025-11-24,2025-12-14,"Nov 24 - Dec 14, 2025","$1,250,000",Hungary
